code,name,service_Charge,purchase_amount,recent1Month,recent3Month,recent6Month,recent1Year,recent3Year,from_Build,type,fund_scale,establishment_date,company
000001,华夏成长混合,0.15%,100元起购,5.13%,0.35%,7.41%,2.46%,16.79%,558.34%,混合型,45.98亿元（2019-12-31）,2001-12-18,华夏基金
000041,华夏全球股票(QDII),0.16%,100元起购,22.34%,-5.71%,1.89%,0.69%,20.19%,2.40%,QDII,38.92亿元（2019-12-31）,2007-10-09,华夏基金
000037,广发理财7天债券A,0.00%,1000元起购,0.27%,0.68%,1.35%,2.74%,11.18%,29.68%,理财型,1.91亿元（2019-12-31）,2013-06-20,广发基金
000039,农银高增长混合,0.15%,100元起购,4.68%,1.38%,23.59%,32.07%,33.74%,137.63%,混合型,3.58亿元（2019-12-31）,2013-03-26,农银汇理基金
000032,易方达信用债债券A,0.08%,10元起购,1.61%,2.80%,3.91%,6.88%,17.41%,44.29%,债券型,39.04亿元（2019-12-31）,2013-04-24,易方达基金
000030,长城核心优选混合,0.15%,100元起购,6.48%,-1.03%,5.63%,17.57%,22.15%,127.95%,混合型,2.89亿元（2019-12-31）,2013-04-18,长城基金
000038,广发理财7天债券B,0.00%,5000000元起购,0.29%,0.76%,1.50%,3.04%,12.16%,31.54%,理财型,151.53亿元（2019-12-31）,2013-06-20,广发基金
000033,易方达信用债债券C,0.00%,10元起购,1.53%,2.72%,3.75%,6.47%,16.34%,40.54%,债券型,7.65亿元（2019-12-31）,2013-04-24,易方达基金
000025,大摩双利增强债券C,0.00%,100元起购,0.67%,1.09%,2.73%,4.78%,14.68%,50.81%,债券型,9.58亿元（2019-12-31）,2013-03-26,摩根士丹利华鑫基金
000031,华夏复兴混合,0.15%,100元起购,3.98%,-4.55%,25.74%,34.71%,20.55%,124.70%,混合型,19.77亿元（2019-12-31）,2007-09-10,华夏基金
000017,财通可持续混合,0.15%,100元起购,5.58%,-3.09%,6.91%,22.95%,37.93%,205.69%,混合型,1.52亿元（2019-12-31）,2013-03-27,财通基金
000264,博时内需增长混合,0.15%,100元起购,9.07%,0.44%,12.15%,14.83%,20.71%,12.81%,混合型,2.45亿元（2019-12-31）,2013-07-15,博时基金
000029,富国宏观策略灵活配置混合,0.15%,100元起购,-1.00%,2.65%,20.23%,34.45%,64.92%,174.90%,混合型,3.62亿元（2019-12-31）,2013-04-12,富国基金
000650,汇添富货币D,暂停申购,暂停申购,0.18%,0.60%,1.27%,2.55%,10.01%,20.11%,货币型,14.95亿元（2019-12-31）,2014-06-05,汇添富基金
000785,华融现金增利货币A,0.00%,100元起购,0.16%,0.51%,1.08%,2.21%,9.43%,17.83%,货币型,0.10亿元（2019-12-31）,2014-09-16,华融证券
000020,景顺长城品质投资混合,0.15%,1000元起购,3.83%,2.46%,23.83%,35.37%,70.02%,204.00%,混合型,8.03亿元（2019-12-31）,2013-03-19,景顺长城基金
000028,华富安鑫债券,0.08%,100元起购,1.58%,-1.64%,2.89%,6.51%,9.68%,49.63%,债券型,0.60亿元（2019-12-31）,2013-04-24,华富基金
000021,华夏优势增长混合,0.15%,100元起购,2.81%,-3.24%,12.06%,15.46%,16.99%,297.69%,混合型,59.25亿元（2019-12-31）,2006-11-24,华夏基金
000024,大摩双利增强债券A,0.08%,100元起购,0.74%,1.24%,3.02%,5.22%,16.08%,53.45%,债券型,25.70亿元（2019-12-31）,2013-03-26,摩根士丹利华鑫基金
000783,博时季季享持有期A,0.30%,1000元起购,0.85%,2.23%,3.71%,--,--,4.22%,债券型,9.02亿元（2019-12-31）,2014-09-22,博时基金
